campaign,year,page,platform,media_type,category_l0,category_l1,category_l2,url,content,cost_nzd,views,hours,engagement,description_json,duration_seconds
Organic | Website,2025,ABXV,FB,Short Video,Social,Live Promo,Sky,https://www.facebook.com/reel/828851096772888/,"all blacks xv v england a | 1:15pm gmt, 2:15am nzt 👊🏼 📺 watch on @skysportnz",,8583.0,15.3669,225.0,"{""play_by_play"": ""An All Blacks XV male rugby player runs with the ball down the field during a match against England A. He evades defenders and dives over the try line to score a try. His teammates celebrate with him as a text graphic appears reading 'GAME DAY ALL BLACKS XV v ENGLAND A'. The clip ends with the All Blacks XV logo on a black background."", ""content_theme"": [""try"", ""run"", ""celebration""], ""format_access"": [""highlight"", ""promotion""], ""people"": [""all blacks xv"", ""england a""], ""brands"": [""adidas"", ""cazoo"", ""gallagher"", ""indeed""], ""event"": [""abxv""], ""tone"": [""excitement""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song""]}",15.579229024943311
Organic | Website,2025,ABXV,FB,Short Video,Social,Live Promo,Sky,https://www.facebook.com/reel/25357545997196368/,all eyes on saturday 👊🏼 all blacks xv v england a | sat 2:15pm gmt | sun 1:15am nzt 📺 live on @skysportnz,,6318.0,11.9251,242.0,"{""play_by_play"": ""A male All Blacks XV rugby player walks across a training field asking what the song edit of the day should be, suggesting 'Church' by T-Pain. A quick montage plays with T-Pain's song before he interrupts to change his choice to 'Never Find' by GloRilla. The video cuts into a high-energy montage of male players completing rugby drills, passing, tackling, running, and scrummaging under overcast weather, ending on the All Blacks XV logo."", ""content_theme"": [""training"", ""rugby_skills""], ""format_access"": [""behind-the-scenes"", ""montage""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""toyota""], ""event"": [""abxv""], ""tone"": [""lighthearted"", ""humour""], ""context"": [""pre-match""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song""]}",43.490975056689344
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/25642486792001971/,arrived at the rec 🏟️,,8660.0,11.166,280.0,"{""play_by_play"": ""A group of male rugby players in black team apparel walk down a city street, carrying luggage and wearing headphones, as text reading 'WALK TO THE REC' appears on screen. Additional shots show individual players walking past urban buildings and trees toward the match venue, ending with a shot of flags waving above the stadium."", ""content_theme"": [""non rugby related""], ""format_access"": [""behind-the-scenes"", ""candid clip"", ""montage""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""toyota"", ""altrad""], ""event"": [""abxv""], ""tone"": [""pride""], ""context"": [""travel"", ""pre-match"", ""tour""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",16.16108843537415
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/639736912439777/,"big welcome to luke jacobson and sevu reece, joining the all blacks xv team for our match against england a this weekend 🤝 good to have you here lads 🖤",,24173.0,31.7163,613.0,"{""play_by_play"": ""Luke Jacobson and Sevu Reece are featured during an All Blacks XV training session. The clip shows shots of Jacobson and Reece walking onto the pitch, taking part in a team huddle, and performing a ground tackle drill on the field."", ""content_theme"": [""training"", ""tackle""], ""format_access"": [""montage"", ""behind-the-scenes""], ""people"": [""luke jacobson"", ""sevu reece""], ""brands"": [""adidas"", ""altrad"", ""toyota"", ""tudor""], ""event"": [""abxv""], ""tone"": [""pride""], ""context"": [""tour"", ""pre-match""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",14.186213151927438
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/2110243966173787/,bonjour montpellier 🇫🇷 the all blacks xv have landed in france for their last game against uruguay in béziers on sunday.,,14531.0,21.0633,352.0,"{""play_by_play"": ""A male rugby player gives a thumbs up when asked if he knows any French. He responds, \""Oh not really mate, want to learn a bit though.\"" The video then transitions into a scenic montage of street scenes, architecture, and public transport in a French city."", ""content_theme"": [""player story"", ""non rugby related""], ""format_access"": [""candid clip"", ""montage""], ""people"": [""undefined""], ""brands"": [""adidas""], ""event"": [""undefined""], ""tone"": [""lighthearted""], ""context"": [""travel"", ""tour""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song"", ""ambient""]}",14.698231292517006
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/858136197155973/,caleb tangitau with a try at the rec 🙌,,56259.0,131.3655,976.0,"{""play_by_play"": ""Commentator: 'With the advantage. That's three penalties now for All Blacks as they look to put some width on it. Vihaki finds the pass, and it's another score for Tangitau.' The All Blacks attack near the opposition try line, passing out wide to Caleb Tangitau who breaks through a tackle attempt and dives over the try line to score a try. His teammates gather around to celebrate with him. A replay angle then shows Caleb Tangitau powering through the defender and grounding the ball in the try zone. Commentator: 'Yeah, Caleb Tangitau is... continues...'"", ""content_theme"": [""try"", ""tackle"", ""celebration"", ""run""], ""format_access"": [""highlight""], ""people"": [""caleb tangitau"", ""all blacks""], ""brands"": [""adidas"", ""altrad"", ""gallagher"", ""lipovitan d"", ""emirates"", ""ledstudio""], ""event"": [""all blacks"", ""abxv""], ""tone"": [""excitement""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""ambient""]}",15.997210884353741
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1184273116965389/,coin toss 🪙 not long till kick off 🤝,,107205.0,310.9072,1001.0,"{""play_by_play"": ""Two team captains and a match referee gather in a hallway in front of a backdrop for the pre-match coin toss. The referee explains the process, flips the coin, and asks for the choice. After confirming kick-off and side preferences, the captains shake hands with each other and the referee before departing."", ""content_theme"": [""non rugby related""], ""format_access"": [""behind-the-scenes"", ""candid clip""], ""people"": [""new zealand rugby team""], ""brands"": [""altrad"", ""emirates"", ""adidas"", ""macron""], ""event"": [""all blacks"", ""u20""], ""tone"": [""lighthearted""], ""context"": [""pre-match"", ""match day""], ""overall_team"": [""men"", ""youth""], ""audio_format"": [""voice"", ""ambient""]}",25.076213151927437
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1856122898632231/,coin toss 🪙 see you in the pitch @barbarians_fc 🤝,,188163.0,454.125,1725.0,"{""play_by_play"": ""In the tunnel at Brentford Community Stadium, two team captains gather with match officials for the pre-match coin toss. The referee flips the coin on the mat, retrieves it, and asks for the captain's decision. The captain points to elect their side and kickoff choice, after which the players shake hands with the referee and walk back down the tunnel."", ""content_theme"": [""non rugby related""], ""format_access"": [""behind-the-scenes"", ""candid clip""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""macron""], ""event"": [""abxv"", ""all blacks""], ""tone"": [""lighthearted"", ""wholesome""], ""context"": [""pre-match""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""ambient""]}",16.670226757369615
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1498430798038420/,"congratulations to christian lio-willie, josh beehre & caleb tangitau who have been called into the all blacks as training cover for the week 🖤",,96280.0,269.9118,2970.0,"{""play_by_play"": ""All Blacks male rugby players are seen outside next to a parking structure and team bus, shaking hands, hugging, and saying goodbye to each other as they prepare to depart."", ""content_theme"": [""non rugby related""], ""format_access"": [""behind-the-scenes"", ""candid clip""], ""people"": [""all blacks""], ""brands"": [""adidas""], ""event"": [""all blacks""], ""tone"": [""wholesome""], ""context"": [""travel""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song"", ""ambient""]}",27.421224489795918
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/784834451271496/,congratulations to josh beehre who is joining the all blacks in edinburgh this week as training cover. go well brother 🖤,,143085.0,511.2276,2759.0,"{""play_by_play"": ""A speaker announces to the room, \""We've lost one player. Josh Beehre has been called into the All Blacks.\"" The room applauds and cheers as Josh Beehre smiles. Afterwards, Josh Beehre receives hugs and handshakes from his teammates and staff outdoors on the training grounds."", ""content_theme"": [""player story"", ""celebration""], ""format_access"": [""behind-the-scenes"", ""announcement"", ""candid clip""], ""people"": [""josh beehre"", ""all blacks""], ""brands"": [""adidas"", ""toyota"", ""altrad""], ""event"": [""all blacks"", ""abxv""], ""tone"": [""pride"", ""wholesome"", ""excitement""], ""context"": [""announcement"", ""tour"", ""squad naming""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""ambient""]}",33.89922902494331
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1591666628668979/,darts 🎯,,117525.0,281.5499,2008.0,"{""play_by_play"": ""A male rugby player throws a rugby ball overhead during a lineout practice drill on a pitch. The ball spirals through the air toward two players lifted by their teammates. A male player successfully catches the ball at the peak of the jump. The video shows another angle of the thrower and the players contesting and catching the lineout ball."", ""content_theme"": [""training"", ""rugby_skills""], ""format_access"": [""behind-the-scenes"", ""montage""], ""people"": [""all blacks""], ""brands"": [""gilbert"", ""toyota"", ""altrad"", ""adidas""], ""event"": [""all blacks""], ""tone"": [""pride""], ""context"": [""pre-match""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",29.255215419501134
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/2255539294857016/,david havili seals the deal in brentford 💥,,446798.0,1259.5291,9702.0,"{""play_by_play"": ""A male All Blacks XV player charges down a kick near the opposition's try line, recovers the ball, and sprints forward to dive across the line for a try. His teammates join him in an enthusiastic embrace to celebrate the score."", ""content_theme"": [""try"", ""run"", ""celebration""], ""format_access"": [""highlight""], ""people"": [""all blacks xv"", ""haereiti hetet""], ""brands"": [""adidas"", ""altrad"", ""lipovitan d"", ""gilbert""], ""event"": [""abxv""], ""tone"": [""excitement""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""voice""]}",17.94721088435374
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1157407642641055/,fakatava and jacomb link up 🔗,,222240.0,560.7301,4614.0,"{""play_by_play"": ""The All Blacks XV set up a scrum near the opposition try line. The ball is passed out on the short side, leading to a try scored by Josh Jacomb. The players celebrate as commentators react to the play."", ""content_theme"": [""try"", ""celebration"", ""rugby_skills""], ""format_access"": [""highlight""], ""people"": [""josh jacomb"", ""all blacks rugby team""], ""brands"": [""adidas"", ""altrad"", ""gallagher"", ""emirates""], ""event"": [""abxv""], ""tone"": [""excitement"", ""pride""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""ambient""]}",16.438231292517006
Organic | Website,2025,ABXV,FB,Short Video,Social,Live Promo,Sky,https://www.facebook.com/reel/1365624478332266/,finishing touches before we take on the barbarians 💪 saturday 1:15pm gmt | sunday 2:15 nzt 📺 live on @skysportnz,,10583.0,16.389,335.0,"{""play_by_play"": ""The All Blacks XV rugby team trains on the pitch at Brentford Community Stadium. The montage shows male players performing warm-up movements, tackle/contact drills, passing drills, and group runs. The Brentford Football Club logo and stadium stands are displayed. One player walking near the sideline says, 'Love it, man. Good field, hero. It's gonna be a ripper night.' Other players continue practice, including passing, carrying tackle equipment with a thumbs-up, and kicking a rugby ball through the posts."", ""content_theme"": [""training"", ""rugby_skills"", ""kick"", ""run""], ""format_access"": [""montage"", ""behind-the-scenes""], ""people"": [""all blacks xv"", ""new zealand rugby team""], ""brands"": [""adidas"", ""toyota"", ""gtech"", ""atrad"", ""bupa"", ""brentford football club""], ""event"": [""abxv""], ""tone"": [""excitement"", ""pride""], ""context"": [""pre-match"", ""tour""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song""]}",34.36421768707483
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1302776054936786/,flying high in france 🦅 next up. uruguay in béziers on sunday! sun 4pm cet | mon 4am nzt,,60147.0,160.8733,1487.0,"{""play_by_play"": ""The video shows a montage of male All Blacks rugby players practicing lineout lifts and high-ball catching drills over a trainer holding a tackle bag on an outdoor training pitch."", ""content_theme"": [""training"", ""rugby_skills""], ""format_access"": [""montage"", ""behind-the-scenes""], ""people"": [""all blacks""], ""brands"": [""adidas""], ""event"": [""all blacks""], ""tone"": [""lighthearted""], ""context"": [""pre-match""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",29.83621315192744
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/856977246809392/,"friday session in montpellier 👊🏼 all blacks xv v uruguay. sunday 4pm cet, monday 4am nzt",,10592.0,14.0243,430.0,"{""play_by_play"": ""A high-energy montage of male rugby players engaging in intensive gym workouts including pull-ups, push-ups, weightlifting, and sprint drills, transitioning to on-field rugby practice featuring passing, lineout jumps, and running drills before celebrating and gathering together."", ""content_theme"": [""training"", ""rugby_skills""], ""format_access"": [""montage"", ""behind-the-scenes""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""toyota"", ""altrad""], ""event"": [""abxv""], ""tone"": [""excitement"", ""pride""], ""context"": [""gym""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",19.11002267573696
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1619537706120780/,from auckland to london ⏱️ just under 30 hours of travel to the other side of the world 🛫,,43400.0,162.7373,756.0,"{""play_by_play"": ""A group of All Blacks XV rugby players are at the airport preparing to travel from Auckland, New Zealand to London. One player speaks to the camera, predicting the travel time will be 47 hours, then asks his teammate Devin for his guess, who predicts 36 hours and 54 minutes. They start a stopwatch on a phone. Montage shows their flight from Auckland to Dubai, a mid-flight timer check at 19 hours 43 minutes, and their second flight from Dubai to London. Upon arriving at their hotel in London, they check the stopwatch timer, which shows 29 hours 57 minutes 35 seconds. Devin was closest with his guess, and they laugh and shake hands."", ""content_theme"": [""player story"", ""non rugby related""], ""format_access"": [""behind-the-scenes"", ""candid clip""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""emirates""], ""event"": [""abxv""], ""tone"": [""humour"", ""lighthearted""], ""context"": [""travel"", ""tour""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song""]}",49.783582766439906
Organic | Website,2025,ABXV,FB,Short Video,Social,No Hashtag,Bunnings NPC,https://www.facebook.com/reel/1332360935284278/,from christchurch to london. fresh off a @bunningsnpc final ✈️,,23972.0,52.5538,559.0,"{""play_by_play"": ""Members of the All Blacks XV squad arrive at their hotel with luggage, greeting one another and speaking briefly about their excitement to gather with the team."", ""content_theme"": [""player story""], ""format_access"": [""behind-the-scenes"", ""candid clip""], ""people"": [""all blacks xv""], ""brands"": [""adidas""], ""event"": [""abxv""], ""tone"": [""wholesome"", ""lighthearted""], ""context"": [""travel"", ""tour""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song""]}",30.88122448979592
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/814186147890524/,from defence to attack. kp scores for the all blacks xv 💨,,425844.0,1413.8479,8497.0,"{""play_by_play"": ""Commentator: \""Oh, it skipped across the face. And Barbarians could be in trouble again, they need to make a tackle. Oh and there it is. A try saving tap tackle. But All Blacks XV on the front foot. Preston helps it on! Oh, it opens up for Kyle Preston! To put the All Blacks XV...\"" An All Blacks XV player breaks through the Barbarians defense, gets tap-tackled, and offloads the ball. The ball is passed to number 21, Kyle Preston, who dives over the try line despite a last-ditch tackle attempt. His teammates gather around to celebrate the try."", ""content_theme"": [""try"", ""tackle"", ""run"", ""celebration""], ""format_access"": [""highlight""], ""people"": [""kyle preston"", ""all blacks xv"", ""barbarians""], ""brands"": [""adidas"", ""macron"", ""gallagher""], ""event"": [""abxv"", ""all blacks""], ""tone"": [""excitement""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""ambient""]}",21.38421768707483
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/764786523278950/,front row view 👏,,325401.0,990.4932,6524.0,"{""play_by_play"": ""A male rugby player in a black jersey receives the ball and runs forward against defenders in white. He dodges a tackle attempt, breaks past several white-jersey defenders, and dives over the try line in the corner to score a try. His teammates in black jerseys rush over to congratulate and celebrate with him near the sideline as the crowd cheers."", ""content_theme"": [""try"", ""tackle"", ""run"", ""celebration""], ""format_access"": [""highlight""], ""people"": [""all blacks xv""], ""brands"": [""allianz""], ""event"": [""abxv""], ""tone"": [""excitement""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""ambient""]}",20.827210884353743
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1284599183469551/,front rowers making it look easy 😳,,37911.0,106.7616,926.0,"{""play_by_play"": ""A male rugby player performs three reps of squats using a 200kg barbell in a gym as teammates cheer him on. Another player with a mullet takes his turn and completes three heavy squat reps. A third player steps up to the squat rack and completes three reps of 200kg squats with support from his surrounding teammates."", ""content_theme"": [""training""], ""format_access"": [""behind-the-scenes"", ""candid clip""], ""people"": [""all blacks rugby team""], ""brands"": [""adidas"", ""primal"", ""toyota""], ""event"": [""all blacks""], ""tone"": [""excitement"", ""pride""], ""context"": [""gym""], ""overall_team"": [""men""], ""audio_format"": [""song"", ""ambient""]}",39.751224489795916
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1008791844772546/,game day in béziers 🔥 follow along on our channels for match coverage 📱 ⏰ sunday 4pm cet | monday 4am nzt,,11935.0,21.7584,257.0,"{""play_by_play"": ""A male rugby player in a black jersey runs past defenders and passes the ball. Another male All Blacks XV player catches it, dodges tackles near the end zone, and dives to score a try. The video then shows graphic text detailing the upcoming match against Uruguay while the players celebrate together."", ""content_theme"": [""try"", ""celebration"", ""run""], ""format_access"": [""highlight"", ""promotion""], ""people"": [""all blacks xv"", ""uruguay rugby team""], ""brands"": [""adidas"", ""altrad"", ""gallagher"", ""lipovitan d""], ""event"": [""abxv""], ""tone"": [""excitement"", ""pride""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",20.780226757369615
